ID,TrialType,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
,Dig_Trial_10,,,,305.95160879171453,0.9184722917852923,,,,,95,
,Travel_Trial,,,,309.9409855834674,1.0042363333050162,4.908046583412215,,,,44,
,Travel_Planet,,,,320.0751075000735,,,,,,,
,start_loop,,,,320.0835230416851,,,1,0.462206122974617,8,,
,Dig_Trial_11,,,,329.6013524584705,1.1902910000644624,,,,,96,
,Travel_Trial,,,,333.87070708337706,1.2644952500704676,5.459871499915607,,,,45,
,Travel_Planet,,,,344.00759275001474,,,,,,,
,start_loop,,,,344.0162899583811,,,1,0.47251010622582323,9,,
,too_slow,,,,354.30238337500487,,,,,,,
,block_end,,,,354.30241941672284,,,,,,,47.21082329156343
,Dig_Trial_12,,,,363.9557280417066,1.2760097499703988,,,,,104,
,Dig_Trial_13,,,,368.7684568334371,1.8237990833586082,,,,,58,
,Travel_Trial,,,,372.5849773334339,0.7650797499809414,9.90548966662027,,,,33,
,Travel_Planet,,,,382.7116608750075,,,,,,,
,start_loop,,,,382.7209815834649,,,1,0.5622475559183765,10,,
,Dig_Trial_14,,,,391.9742435833905,0.921450833324343,,,,,93,
,Dig_Trial_15,,,,396.0833878334379,1.0133104999549687,,,,,80,
,Dig_Trial_16,,,,400.13514062506147,1.026922499993816,,,,,69,
,Dig_Trial_17,,,,404.0789350834675,0.9878832915564999,,,,,59,
,Travel_Trial,,,,407.690069375094,0.551805958384648,16.637497333227657,,,,51,
,Travel_Planet,,,,417.81796387501527,,,,,,,
,start_loop,,,,417.82707087509334,,,2,0.8570005749025636,11,,
