ID,TrialType,AlienOrder,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue
2222,InitializeStudy,"[ 59  24  52  98 119  44  76  55  47  33  56  41  45  20  14 107  17  75
  51  61  86 100  88  32  12   4   8  25  67  77  69  35  26  70  39  91
  95  29  31  53 105  54  42 102  71  11  37  90 103  34  89  60 109 101
  73  18  38   6 118 114  97  13  96  16  82 120  81  48  27   1  28 113
 111 117  94  50  15  62  22  21 104  23  30   9 106  79   2   7  92  83
  40  49  87  78  74 110  68  84 115  63  43  93  99  10  72  80  65  85
  64  36 108  19   3   5  58 116 112  46  66  57]",0.001258958363905549,,,,,,
,Instruction_1,,1.640197500004433,,,,,,
,Instruction_2,,4.337698416784406,,,,,,
,Instruction_3,,7.903921708348207,,,,,,
,Dig_Instruct,,13.159090125001967,,,,,,
,Instruction_4,,15.209678916726261,,,,,,
,Travel_Planet,,27.346147750038654,,,,,,
,Instruction_5,,29.67870620836038,,,,,,
,Instruction_6,,33.5516063333489,,,,,,
,Instruction_7,,36.501464499975555,,,,,,
,Instruction_8,,46.32614254183136,,,,,,
,Travel_Trial,,57.58825370843988,0.946478791651316,0.9466839166125283,,,,0
,Travel_Planet,,67.72085316677112,,,,,,
,Instruction_9,,69.05216595844831,,,,,,
,Dig_Trial_1,,78.57084825006314,1.028869624948129,,,,,96
,Dig_Trial_2,,82.71909408341162,1.011712791514583,,,,,78
,Travel_Trial,,86.68423270841595,0.8688864165451378,9.142476333421655,,,,64
,Travel_Planet,,96.80842004180886,,,,,,
,start_block,,96.81768774997909,,,2,0.8166936170453117,1,
,Travel_Trial,,105.7115095834015,0.6304069582838565,0.6306118331849575,,,,104
,Travel_Planet,,115.84295500000007,,,,,,
,start_block,,115.85189825005364,,,2,0.7664800948014008,2,
,too_slow,,119.6682394167874,,,,,,
,Dig_Trial_3,,128.47524462500587,0.667833250015974,,,,,93
,Dig_Trial_4,,132.40361475001555,0.8881320415530354,,,,,76
,Dig_Trial_5,,136.63330700004008,1.1866142916260287,,,,,62
,Dig_Trial_6,,140.94696741679218,1.2603014167398214,,,,,51
,Dig_Trial_7,,144.921196875046,0.931051249965094,,,,,42
,Travel_Trial,,148.08129504183307,0.24316600000020117,20.274067541584373,,,,34
,Travel_Planet,,158.21014333341736,,,,,,
,start_block,,158.21895195834804,,,2,0.8213131014175643,3,
,too_slow,,161.5396715417737,,,,,,
,Travel_Trial,,170.02097320836037,0.21991133340634406,0.22012299997732043,,,,101
,Travel_Planet,,180.15933320845943,,,,,,
,start_block,,180.1684427917935,,,2,0.8059363937574338,4,
,Travel_Trial,,188.99200712505262,0.6104328749934211,0.6106427916092798,,,,96
,Travel_Planet,,199.12383079179563,,,,,,
,start_block,,199.13407475000713,,,2,0.7049927732551463,5,
,too_slow,,202.31594333343673,,,,,,
,Dig_Trial_8,,211.44301604176871,0.8559917083475739,,,,,103
,Dig_Trial_9,,215.17262804182246,0.6889279583701864,,,,,57
,Dig_Trial_10,,219.092063875054,0.980711083393544,,,,,32
,Travel_Trial,,222.6312741250731,0.49837254162412137,12.044446958228946,,,,18
,Travel_Planet,,232.76375245838426,,,,,,
,start_block,,232.77319162501954,,,1,0.5528585799484798,6,
,too_slow,,236.78178008343093,,,,,,
,Dig_Trial_11,,246.0258325834293,1.0406341665657237,,,,,93
,Travel_Trial,,250.11616779176984,1.0232144166948274,5.131201833253726,,,,15
,Travel_Planet,,260.2504220834235,,,,,,
,start_block,,260.2595960000763,,,0,0.16065575639663782,7,
,Dig_Trial_12,,269.45608833339065,0.9021394583396614,,,,,105
,Dig_Trial_13,,273.5174471667269,1.0313611250603572,,,,,49
,Travel_Trial,,277.1084100417793,0.5781297915382311,8.554650541744195,,,,23
,Travel_Planet,,287.2378604999976,,,,,,
,start_block,,287.2704293334391,,,1,0.46943434002390044,8,
,too_slow,,290.9706707918085,,,,,,
,Dig_Trial_14,,300.0712570834439,0.7837890415685251,,,,,103
,Travel_Trial,,304.07707674999256,0.9448125415947288,4.789816958247684,,,,11
,Travel_Planet,,314.21133741678204,,,,,,
,start_block,,314.22091441683006,,,0,0.10844080594887016,9,
,Dig_Trial_15,,323.1444857500028,0.6852286666398868,,,,,98
,Travel_Trial,,327.0522687083576,0.8007892916211858,4.593223250005394,,,,23
,Travel_Planet,,337.18637029174715,,,,,,
,start_block,,337.19523187505547,,,0,0.2344809058557332,10,
,too_slow,,342.239628666779,,,,,,
