TrialType,TimeElapsed,RT
Instruction_1,31.643552333291154,
Instruction_2,35.30546412500553,
Instruction_3,39.914609791652765,
Dig_Instruct,45.32749175000936,
Instruction_4,47.895741208281834,
Travel_Planet,60.02875312499236,
Instruction_5,68.21159237500979,
Instruction_6,74.98470437497599,
Instruction_7,85.35974608332617,
Instruction_8,100.03295404167147,
Travel_Planet,125.18383554165484,
Instruction_9,128.7520180832944,
Travel_Planet,159.79845170828048,
Instruction_11,165.7358774166787,
Travel_Planet,190.4881179583026,
Travel_Planet,209.68631162500242,
Instruction_13,214.1910582917044,
Travel_Planet,233.6250737083028,
Travel_Planet,256.8147111249855,
Instruction_15,273.16548279166454,
Travel_Planet,316.9779052083031,
Instruction_17,321.38627983332844,
Travel_Planet,359.58241479168646,
Instruction_19,366.4507004999905,
Travel_Planet,404.44601712498115,
Instruction_21,408.3808469166979,
