ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
2222,InitializeStudy,,"[ 17  11  84  76  55  56  93   3  12 110  39  96  18  64 104  15 113   5
  13  48  69  35  51  87 120  34   2 118  94 103  36  91 116  31  26  73
  41  50  20  29  88  44 115 114 102  89  66  60  99  22  90  33  40   9
  21  59  28  63   6  83 117  19  58  49  71  75  61   4  97  37  57 105
  30  79  45  98  16  53  38 107  10 100 108  52  14   8  67  68 119 109
  70  24  23 101  80  47  42  86  81   1  25 112  32  77  54 111  85  74
   7  72  65  92  27  78  95  46  62  82 106  43]",,,0.001967750024050474,,,,,,,
,Instruction_1,,,,,2.4998962501995265,,,,,,,
,Instruction_2,,,,,2.983414875343442,,,,,,,
,Instruction_3,,,,,4.138081958051771,,,,,,,
,Dig_Instruct,,,,,7.257687875069678,,,,,,,
,Instruction_4,,,,,9.406704375054687,,,,,,,
,Travel_Planet,,,,,19.53357558324933,,,,,,,
,Instruction_5,,,,,21.055279708001763,,,,,,,
,Instruction_6,,,,,24.348991750273854,,,,,,,
,Instruction_7,,,,,25.07879541674629,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,29.98343662498519,,,,,,,
,Instruction_8,,,,,31.689904375001788,,,,,,,
,Practice_Trial,,,,,45.85492249997333,1.5268245828337967,,,,,,
,Travel_Planet,,,,,55.98597608320415,,,,,,,
,Instruction_9,,,,,58.669384208042175,,,,,,,
,start_loop,1,,,,58.672328791581094,,,2,0.7379539181668255,0,,
,Dig_Trial_1,,,,,67.56128908321261,0.6392198335379362,,,,,96,
,Dig_Trial_2,,,,,71.78810895839706,1.111730749718845,,,,,71,
,Dig_Trial_3,,,,,75.99512483319268,1.1611614585854113,,,,,52,
,Travel_Trial,,,,,80.38047208311036,1.356998291797936,13.458617416676134,,,,38,
,Travel_Planet,,,,,90.52386712515727,,,,,,,
,too_slow,,,,,116.80816279165447,,,,,,,
,home_base,,,,,116.80820570839569,,,,,,,31.863615124952048
,start_loop,2,,,,116.80829604156315,,,0,0.14651608117288956,1,,
,Dig_Trial_4,,,,,126.0258318753913,0.9812564998865128,,,,,101,
,Travel_Trial,,,,,130.09223029157147,0.9745333748869598,5.0478550414554775,,,,15,
,Travel_Planet,,,,,140.22987395804375,,,,,,,
,start_loop,2,,,,140.23927483335137,,,1,0.4893683294982852,2,,
,Dig_Trial_5,,,,,149.89791187504306,1.2003299999050796,,,,,101,
,Dig_Trial_6,,,,,154.1680434164591,1.1584152919240296,,,,,49,
,Travel_Trial,,,,,158.81882725004107,1.6196245825849473,10.12144112540409,,,,24,
,Travel_Planet,,,,,168.95522825000808,,,,,,,
,too_slow,,,,,231.58738320833072,,,,,,,
,home_base,,,,,231.58742529153824,,,,,,,52.15541891660541
,start_loop,3,,,,231.58759737526998,,,2,0.7973893832131698,3,,
,Dig_Trial_7,,,,,240.93134558340535,0.7654890832491219,,,,,96,
,Dig_Trial_8,,,,,245.81387191684917,1.7771221664734185,,,,,77,
,Dig_Trial_9,,,,,249.48675287514925,0.588129417039454,,,,,61,
,Travel_Trial,,,,,253.22326575033367,0.6724836248904467,13.057665125001222,,,,49,
,Travel_Planet,,,,,263.3554349169135,,,,,,,
,too_slow,,,,,323.2358295000158,,,,,,,
,home_base,,,,,323.2358739580959,,,,,,,31.77899270830676
,start_loop,4,,,,323.2360519580543,,,1,0.5701499882170493,4,,
,Dig_Trial_10,,,,,332.70118362503126,0.9811236672103405,,,,,103,
,Dig_Trial_11,,,,,336.76862766686827,1.043254416435957,,,,,59,
,Dig_Trial_12,,,,,341.218663666863,1.3808586248196661,,,,,34,
,Travel_Trial,,,,,346.21437637507915,1.974548083730042,14.494569249916822,,,,19,
,Travel_Planet,,,,,356.3494502916001,,,,,,,
,too_slow,,,,,359.67190179182217,,,,,,,
,home_base,,,,,359.6719179581851,,,,,,,33.12253083335236
,start_loop,5,,,,359.6719630830921,,,1,0.494940660345661,5,,
,Dig_Trial_13,,,,,368.8551586251706,0.9334270828403533,,,,,103,
,Dig_Trial_14,,,,,373.35565316677094,1.4048617077060044,,,,,51,
,Travel_Trial,,,,,377.57615900039673,1.135316874831915,9.654665249865502,,,,25,
,Travel_Planet,,,,,387.7121169581078,,,,,,,
,start_loop,5,,,,387.72113687498495,,,1,0.48199033019191073,6,,
,Dig_Trial_15,,,,,397.0033562919125,1.108518541790545,,,,,95,
,Dig_Trial_16,,,,,401.3470380003564,1.3131865416653454,,,,,46,
,Travel_Trial,,,,,404.7138241669163,0.3718258333392441,8.8192640831694,,,,22,
,Travel_Planet,,,,,414.84432075032964,,,,,,,
