ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
1211,InitializeStudy,,"[ 68  49   2  98  80  94  59  56  25  10   8  42  28  41 117  71  96   7
  75  79  16 107  32  55  54  20 112  47 108  72  92 120  15 115  50 103
  67  73  52  70  95  46  11  26  88  69 109  39   4  30 111  40 119  63
 118  22  37  99  17  34  51   6  87  19  83  78  86  62  13  64   1  61
  45  76  18  36  85  27  48  89  21  31  23  93  12 110  65  24  90  14
  82  44 105 101 102  43  74  66  81  38  60 100  33   3   5  84  91  77
  29  58 113   9 114  57 116 106 104  35  97  53]",,,0.002176125068217516,,,,,,,
,Instruction_1,,,,,1.4761566249653697,,,,,,,
,Instruction_2,,,,,2.363965708296746,,,,,,,
,Instruction_3,,,,,3.7235769166145474,,,,,,,
,Dig_Instruct,,,,,6.866196333314292,,,,,,,
,Instruction_4,,,,,8.998045374988578,,,,,,,
,Travel_Planet,,,,,19.13695791666396,,,,,,,
,Instruction_5,,,,,22.410144999972545,,,,,,,
,Instruction_6,,,,,26.793142458307557,,,,,,,
,Instruction_7,,,,,27.77456470823381,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,34.263707416597754,,,,,,,
,Instruction_8,,,,,61.652077916660346,,,,,,,
,Too_slow,,,,,74.54915404168423,NA,,,,,0,
,Practice_Trial,,,,,79.6209304999793,1.9475964999292046,,,,,,
,Travel_Planet,,,,,89.76216695830226,,,,,,,
,Instruction_9,,,,,93.4524875000352,,,,,,,
,start_loop,1,,,,93.45575433329213,,,2,0.7536442112355033,0,,
,Too_slow,,,,,105.92717145825736,NA,,,,,99,
,Too_slow,,,,,113.1735704166349,NA,,,,,75,
,Dig_Trial_1,,,,,116.59490274998825,0.4423807499697432,,,,,57,
,Travel_Trial,,,,,120.01539541664533,0.38347112492192537,3.863087625009939,,,,43,
,Travel_Planet,,,,,130.1509150416823,,,,,,,
,too_slow,,,,,133.70951016666368,,,,,,,
,home_base,,,,,133.70953045831993,,,,,,,36.71145979175344
,start_loop,2,,,,133.70958558330312,,,1,0.4923031373106556,1,,
,Dig_Trial_2,,,,,143.48886279168073,1.5332589582540095,,,,,98,
,Too_slow,,,,,150.78766012506094,NA,,,,,48,
,Travel_Trial,,,,,154.71190504159313,0.9207649166928604,12.756529416539706,,,,24,
,Travel_Planet,,,,,164.8435880416073,,,,,,,
,too_slow,,,,,173.54256883321796,,,,,,,
,home_base,,,,,173.5425943749724,,,,,,,31.14361858344637
,start_loop,3,,,,173.54272987495642,,,1,0.4232743712452715,2,,
,Dig_Trial_3,,,,,182.84702420828398,1.0419447083259001,,,,,102,
,Too_slow,,,,,190.0667981666047,NA,,,,,43,
,Dig_Trial_4,,,,,194.06525166658685,0.8124177500139922,,,,,18,
,Travel_Trial,,,,,197.67185054160655,0.6399014166090637,15.866985583445057,,,,8,
,Travel_Planet,,,,,207.79892079159617,,,,,,,
,too_slow,,,,,219.11027991666924,,,,,,,
,home_base,,,,,219.11030662502162,,,,,,,34.266210833215155
,start_loop,4,,,,219.1103752083145,,,2,0.9249672882494231,3,,
,Dig_Trial_5,,,,,227.9496319165919,0.4982572916196659,,,,,99,
,Dig_Trial_6,,,,,232.25031375000253,1.3436407917179167,,,,,92,
,Dig_Trial_7,,,,,236.1137446250068,0.7689340832876042,,,,,85,
,Dig_Trial_8,,,,,240.0257044582395,0.8588618750218302,,,,,79,
,Dig_Trial_9,,,,,243.5316388332285,0.5784345415886492,,,,,73,
,Dig_Trial_10,,,,,247.22714483330492,0.6040822084760293,,,,,68,
,Dig_Trial_11,,,,,250.85656045831274,0.6129691665992141,,,,,63,
,Dig_Trial_12,,,,,254.55923720821738,0.606781916692853,,,,,58,
,Dig_Trial_13,,,,,258.212394083268,0.6579067083075643,,,,,54,
,Dig_Trial_14,,,,,261.9177407500101,0.7003886668244377,,,,,50,
,Dig_Trial_15,,,,,265.95322887506336,1.0117925000377,,,,,46,
,Travel_Trial,,,,,269.17239337495994,0.2723725417163223,41.72125233337283,,,,43,
,Travel_Planet,,,,,279.31054566660896,,,,,,,
,too_slow,,,,,290.4612135416828,,,,,,,
,home_base,,,,,290.46124062500894,,,,,,,60.20909362495877
,start_loop,5,,,,290.4613791666925,,,0,0.18656108458694418,4,,
,Too_slow,,,,,302.911755374982,NA,,,,,110,
,Dig_Trial_16,,,,,307.0365492500132,1.0748286666348577,,,,,21,
,Travel_Trial,,,,,310.66797737497836,0.5268674166873097,4.706458208267577,,,,4,
,Travel_Planet,,,,,320.80176579160616,,,,,,,
,too_slow,,,,,327.38369437505025,,,,,,,
,home_base,,,,,327.3837307082722,,,,,,,30.349846916622482
,start_loop,6,,,,327.38381000002846,,,2,0.8691250254280279,5,,
,Dig_Trial_17,,,,,336.6834966666065,1.0033729582792148,,,,,104,
,Dig_Trial_18,,,,,340.66501941659953,0.8780777916545048,,,,,90,
,Dig_Trial_19,,,,,344.41758308326825,0.7678552500437945,,,,,78,
,Dig_Trial_20,,,,,348.193708833307,0.7318874166812748,,,,,68,
,Dig_Trial_21,,,,,352.17949562496506,1.0542584584327415,,,,,59,
,Dig_Trial_22,,,,,355.97142479161266,0.7322840000269935,,,,,51,
,Travel_Trial,,,,,360.1764006665908,1.235197541769594,24.4965048750164,,,,44,
,Travel_Planet,,,,,370.308259208221,,,,,,,
