ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock,Bonus
,Travel_Trial,,,,,531.6533153333334,0.15893787499999235,4.422052958333325,,,,15,,
,Travel_Planet,,,,,541.7804987083333,,,,,,,,
,start_loop,2,,,,541.7828270833334,,,0,0.2630867711913325,17,,,
,Travel_Trial,,,,,551.325326625,0.4313113749999502,0.43143850000001294,,,,97,,
,Travel_Planet,,,,,561.4232995833333,,,,,,,,
,start_loop,2,,,,561.42535775,,,0,0.20425005220224687,18,,,
,Travel_Trial,,,,,570.8728726666666,0.3320077916664559,0.3321455000000242,,,,95,,
,Travel_Planet,,,,,580.9766760416666,,,,,,,,
,start_loop,2,,,,580.978768375,,,0,0.11270770045401686,19,,,
,Travel_Trial,,,,,590.3064053749999,0.225212166666779,0.2253488333334417,,,,95,,
,Travel_Planet,,,,,600.4183591666666,,,,,,,,
,start_loop,2,,,,600.42072175,,,0,0.22796068793175553,20,,,
,Travel_Trial,,,,,609.8862759583334,0.36742820833342194,0.36755249999998796,,,,93,,
,Travel_Planet,,,,,619.9799815,,,,,,,,
,start_loop,2,,,,619.9821871666666,,,0,0.24708865404909847,21,,,
,Travel_Trial,,,,,629.346015375,0.2314042083332879,0.2315385833334176,,,,91,,
,Travel_Planet,,,,,639.4449222916667,,,,,,,,
,start_loop,2,,,,639.447131625,,,0,0.20109467588772997,22,,,
,Travel_Trial,,,,,649.6399455833333,1.0919352083333251,1.0920692916665757,,,,98,,
,Travel_Planet,,,,,659.749180125,,,,,,,,
,start_loop,2,,,,659.7512206666667,,,0,0.23850584937289815,23,,,
,Travel_Trial,,,,,670.1579410833334,1.3094271666668647,1.3095593749999352,,,,100,,
,Travel_Planet,,,,,680.253942625,,,,,,,,
,start_loop,2,,,,680.256064125,,,0,0.1571640562455057,24,,,
,Dig_Trial_10,,,,,689.5379367083334,0.15588704166657408,,,,,101,,
,Travel_Trial,,,,,693.7260817916666,0.20203754166664112,4.344151541666633,,,,16,,
,Travel_Planet,,,,,703.8325106666666,,,,,,,,
,start_loop,2,,,,703.8346065833333,,,2,0.837536921759734,25,,,
,Too_slow,,,,,717.0570940416666,NA,,,,,105,,
,Too_slow,,,,,725.175879125,NA,,,,,88,,
,Dig_Trial_11,,,,,729.3110614583333,0.12663745833356188,,,,,74,,
,Dig_Trial_12,,,,,733.6069786666666,0.30534112500004085,,,,,62,,
,Dig_Trial_13,,,,,737.86254275,0.239461666666557,,,,,52,,
,Travel_Trial,,,,,741.8991406666665,0.05243787499989594,12.714842708333435,,,,44,,
,Travel_Planet,,,,,752.0186935,,,,,,,,
,start_loop,2,,,,752.0208597916666,,,2,0.8453847598139008,26,,,
,Dig_Trial_14,,,,,762.5778411666666,1.4428380833332994,,,,,97,,
,Dig_Trial_15,,,,,766.9174459166667,0.33324341666661894,,,,,82,,
,Dig_Trial_16,,,,,771.1300658333333,0.1941950000000361,,,,,69,,
,Travel_Trial,,,,,775.2280966249999,0.10892824999996265,14.09321887499982,,,,58,,
,Travel_Planet,,,,,785.3483195,,,,,,,,
,start_loop,2,,,,785.3504766249999,,,2,0.834481753547484,27,,,
,Dig_Trial_17,,,,,794.5932917083331,0.13538083333332906,,,,,101,,
,Dig_Trial_18,,,,,799.1996508333333,0.6069219999999405,,,,,84,,
,Travel_Trial,,,,,803.3772868333334,0.16702179166645692,8.91948712500016,,,,70,,
,Travel_Planet,,,,,813.4774895833333,,,,,,,,
,start_loop,2,,,,813.4796737916666,,,2,0.8507153043565808,28,,,
,Dig_Trial_19,,,,,822.7122906666667,0.1272166250000737,,,,,103,,
,Too_slow,,,,,830.8539391249998,NA,,,,,88,,
,Travel_Trial,,,,,836.1685246249998,1.3306437500000357,13.58357995833353,,,,75,,
,Travel_Planet,,,,,846.2712388333333,,,,,,,,
,start_loop,2,,,,846.273809125,,,2,0.7387426930788434,29,,,
,Dig_Trial_20,,,,,855.5042953333333,0.11547891666668875,,,,,95,,
,Travel_Trial,,,,,859.6342192083333,0.14192804166646056,4.245537833333401,,,,70,,
,Travel_Planet,,,,,869.7332173333333,,,,,,,,
,start_loop,2,,,,869.7352747499998,,,2,0.8138339022551737,30,,,
,Dig_Trial_21,,,,,879.1704552083335,0.3233515833333058,,,,,103,,
,Travel_Trial,,,,,883.37444675,0.21836979166664605,4.5274824999999055,,,,84,,
,Travel_Planet,,,,,893.4710651249999,,,,,,,,
,too_slow,,,,,901.1046605833334,,,,,,,,
,home_base,,,,,901.1046732916667,,,,,,,375.3662775416668,
,start_loop,3,,,,901.1047080833333,,,2,0.7779160538614875,31,,,
,Dig_Trial_22,,,,,911.0217144583333,0.8127563333332546,,,,,106,,
,Dig_Trial_23,,,,,915.3182294166667,0.24547879166675557,,,,,82,,
,Travel_Trial,,,,,919.5944324583335,0.28804058333321336,9.385603500000116,,,,64,,
,Travel_Planet,,,,,929.7075214999999,,,,,,,,
,start_loop,3,,,,929.7099817499999,,,2,0.8546803635914549,32,,,
,Dig_Trial_24,,,,,938.9169168333334,0.10438025000007656,,,,,104,,
,Dig_Trial_25,,,,,943.0219430833334,0.10402004166667211,,,,,89,,
,Dig_Trial_26,,,,,947.0260730833335,0.01675999999997657,,,,,76,,
,Dig_Trial_27,,,,,951.5065580416666,0.4880379166665989,,,,,65,,
,Dig_Trial_28,,,,,955.8424925833334,0.3482168333334812,,,,,56,,
,Dig_Trial_29,,,,,960.0726500416666,0.23928783333349202,,,,,48,,
,Dig_Trial_30,,,,,964.1564303333333,0.07997741666667935,,,,,41,,
,Dig_Trial_31,,,,,968.2844473333333,0.14192091666632223,,,,,35,,
,Dig_Trial_32,,,,,972.5559480416665,0.2603561250000439,,,,,30,,
,Dig_Trial_33,,,,,977.1498284166665,0.6114197500000955,,,,,26,,
,Dig_Trial_34,,,,,981.2906158333334,0.12988799999993716,,,,,22,,
,Dig_Trial_35,,,,,985.4684203333333,0.19232274999990295,,,,,19,,
,Dig_Trial_36,,,,,989.5391986666667,0.06449245833323403,,,,,16,,
,Dig_Trial_37,,,,,994.6920911249998,1.167258499999889,,,,,14,,
,Dig_Trial_38,,,,,999.1911178749998,0.5060831250000319,,,,,12,,
,Dig_Trial_39,,,,,1004.5588981666666,1.3881096250001974,,,,,10,,
,Dig_Trial_40,,,,,1009.5888236666666,1.036559791666832,,,,,9,,
,Dig_Trial_41,,,,,1014.0787737083334,0.5102685416666191,,,,,8,,
,Dig_Trial_42,,,,,1018.6026025416667,0.5349135833334913,,,,,7,,
,Dig_Trial_43,,,,,1022.6421235416666,0.05907495833344001,,,,,6,,
,Dig_Trial_44,,,,,1026.80025975,0.1700063749999572,,,,,5,,
,Dig_Trial_45,,,,,1031.1668712916667,0.3852634999998372,,,,,4,,
,Dig_Trial_46,,,,,1035.2172239583333,0.0569156250001015,,,,,3,,
