ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
2626,InitializeStudy,,"[107  22 100  93  24  63  92  34   8  65 118  46 102   9  29 116  77 113
   1  49  36  37  43   5  61  56  95   2 104  91  39  84 112  79  15  13
   3  73  48 108  19  38  86  25  35  26   4  78  97  58  55  52 119  87
 111 115  94  96  59  50  41  10  68  88  47 106  30  40  23  90 117  16
  69 109  89  31  62 110  14  82  57  42  98  51  33 101  44  11  81 114
 120  45  17 105   6  80  74  20  60  66  71  76  85  18  67  21  54  64
  28  27  12  32 103  83   7  99  75  72  53  70]",,,0.00223966664634645,,,,,,,
,Instruction_1,,,,,1.542995416559279,,,,,,,
,Instruction_2,,,,,2.0450044999597594,,,,,,,
,Instruction_3,,,,,3.0855931249679998,,,,,,,
,Dig_Instruct,,,,,6.2844124583061785,,,,,,,
,Instruction_4,,,,,159.05455979157705,,,,,,,
,Travel_Planet,,,,,169.2550413333811,,,,,,,
,Instruction_5,,,,,339.4838484165957,,,,,,,
,Instruction_6,,,,,340.5795177083928,,,,,,,
,Instruction_7,,,,,341.3348181665642,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,345.52193733339664,,,,,,,
,Instruction_8,,,,,346.78696358331945,,,,,,,
,Practice_Trial,,,,,356.6081108750077,1.2720719167264178,,,,,,
,Travel_Planet,,,,,366.7526247500209,,,,,,,
,Instruction_9,,,,,367.98567449999973,,,,,,,
,start_loop,1,,,,367.98870691657066,,,2,0.8840417231238283,0,,
,Dig_Trial_1,,,,,377.5417426249478,1.3138922499492764,,,,,91,
,Dig_Trial_2,,,,,381.6962411249988,1.0990203332621604,,,,,80,
,Dig_Trial_3,,,,,385.3471423749579,0.608650041744113,,,,,71,
,Dig_Trial_4,,,,,389.77739412500523,1.3892459999769926,,,,,63,
,Dig_Trial_5,,,,,393.87266387499403,1.0268643333110958,,,,,56,
,Dig_Trial_6,,,,,397.9563877915498,1.0790197917958722,,,,,50,
,Travel_Trial,,,,,401.76445666665677,0.8878759583458304,25.53673074999824,,,,44,
,Travel_Planet,,,,,411.894121624995,,,,,,,
,too_slow,,,,,416.9061405415414,,,,,,,
,home_base,,,,,416.90621808334254,,,,,,,43.91715383331757
