ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock,Bonus
3014,InitializeStudy,,"[44, 25, 12, 24, 113, 67, 48, 78, 109, 88, 17, 117, 72, 38, 66, 62, 71, 28, 86, 8, 112, 34, 19, 69, 100, 116, 7, 105, 65, 57, 83, 98, 31, 110, 27, 54, 95, 96, 40, 49, 92, 46, 4, 68, 97, 52, 3, 16, 75, 20, 101, 120, 55, 87, 77, 70, 61, 39, 26, 9, 102, 47, 43, 114, 29, 37, 80, 14, 79, 18, 59, 104, 56, 90, 50, 119, 60, 21, 6, 35, 10, 58, 99, 5, 13, 33, 84, 74, 11, 76, 32, 42, 111, 30, 64, 108, 51, 103, 115, 45, 36, 73, 53, 85, 23, 15, 94, 41, 2, 63, 22, 89, 118, 106, 107, 1, 82, 93, 81, 91]",,,0.0002185833332077891,,,,,,,,
,Instruction_1,,,,,54.04526812499989,,,,,,,,
,Instruction_2,,,,,59.65369212499991,,,,,,,,
,Instruction_3,,,,,73.84462616666633,,,,,,,,
,Dig_Instruct,,,,,77.89923141666645,,,,,,,,
,Instruction_4,,,,,90.16788887499979,,,,,,,,
,Travel_Planet,,,,,100.27744191666648,,,,,,,,
,Instruction_5,,,,,103.00575854166641,,,,,,,,
,Instruction_6,,,,,108.87762095833318,,,,,,,,
,Instruction_7,,,,,122.39679012499982,,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,136.50682291666635,,,,,,,,
,Instruction_8,,,,,148.09916983333324,,,,,,,,
,Practice_Trial,,,,,190.19723504166632,0.41759562499987624,,,,,,,
,Travel_Planet,,,,,200.30797424999992,,,,,,,,
,Instruction_9,,,,,204.25035166666635,,,,,,,,
,start_loop,1,,,,204.25251945833315,,,1,0.4392837763652258,0,,,
,Dig_Trial_1,,,,,213.7671662916664,0.36271291666662364,,,,,98,,
,Dig_Trial_2,,,,,218.36960879166645,0.6056117916668882,,,,,43,,
,Travel_Trial,,,,,222.70047579166635,0.33023995833355,9.296147708333365,,,,19,,
,Travel_Planet,,,,,232.83221041666638,,,,,,,,
