ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
3024,InitializeStudy,,"[78, 114, 99, 120, 83, 62, 43, 49, 71, 75, 84, 105, 41, 70, 116, 102, 39, 87, 31, 35, 81, 53, 23, 3, 57, 10, 56, 119, 94, 58, 32, 59, 63, 24, 22, 88, 12, 19, 95, 26, 33, 118, 76, 74, 66, 36, 18, 106, 25, 38, 101, 108, 45, 14, 47, 113, 110, 77, 65, 52, 42, 54, 93, 80, 112, 96, 82, 17, 100, 109, 27, 115, 21, 73, 34, 51, 9, 16, 79, 85, 86, 37, 48, 98, 20, 72, 30, 89, 5, 55, 107, 90, 104, 91, 6, 50, 4, 44, 11, 117, 46, 61, 40, 67, 111, 8, 97, 7, 69, 15, 1, 60, 13, 28, 103, 68, 2, 64, 92, 29]",,,0.00021483333330252208,,,,,,,
,Instruction_1,,,,,25.95221737499992,,,,,,,
,Instruction_2,,,,,41.75199099999986,,,,,,,
,Instruction_3,,,,,48.35663245833348,,,,,,,
,Dig_Instruct,,,,,52.45936216666678,,,,,,,
,Instruction_4,,,,,61.60489316666667,,,,,,,
,Travel_Planet,,,,,71.7184035416667,,,,,,,
,Instruction_5,,,,,74.24479220833337,,,,,,,
,Instruction_6,,,,,78.59653754166675,,,,,,,
,Instruction_7,,,,,86.74859804166658,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,108.5628534583334,,,,,,,
,Instruction_8,,,,,166.14013562499986,,,,,,,
,Practice_Trial,,,,,278.835738,0.4934815833335051,,,,,,
,Travel_Planet,,,,,288.9345995416668,,,,,,,
,Instruction_9,,,,,292.90029924999976,,,,,,,
,start_loop,1,,,,292.9011412916668,,,2,0.8055094974372011,0,,
,Dig_Trial_1,,,,,302.4117642499998,0.37802108333335127,,,,,91,
,Dig_Trial_2,,,,,306.90770245833323,0.5028353750003589,,,,,73,
,Dig_Trial_3,,,,,311.3715284166667,0.4817157916668293,,,,,59,
,Dig_Trial_4,,,,,315.73154362499986,0.3718755833333489,,,,,48,
,Dig_Trial_5,,,,,320.0835260000001,0.37151700000003984,,,,,39,
,Dig_Trial_6,,,,,324.4194925416666,0.34988816666646017,,,,,31,
,Dig_Trial_7,,,,,328.867572375,0.4349191249998512,,,,,25,
,Dig_Trial_8,,,,,333.1394667500001,0.2964486250002665,,,,,20,
,Dig_Trial_9,,,,,337.49152920833353,0.3626562083331919,,,,,16,
,Dig_Trial_10,,,,,341.68345566666653,0.20867616666646427,,,,,13,
,Dig_Trial_11,,,,,346.0273751666666,0.35993916666666337,,,,,10,
,Dig_Trial_12,,,,,350.25936350000006,0.2525382499998159,,,,,8,
,Dig_Trial_13,,,,,354.6034575000001,0.3562298749998263,,,,,6,
,Dig_Trial_14,,,,,358.95537633333356,0.28799166666658493,,,,,5,
,Dig_Trial_15,,,,,363.28339733333337,0.34893595833318614,,,,,4,
,Dig_Trial_16,,,,,367.58735808333336,0.31107087500004127,,,,,3,
,Dig_Trial_17,,,,,371.9153673333333,0.32483975000013743,,,,,2,
,Dig_Trial_18,,,,,376.21936545833364,0.31658645833340415,,,,,2,
,Travel_Trial,,,,,380.60328675000005,0.40051937499993073,78.56965612500017,,,,2,
,Travel_Planet,,,,,390.7038605416667,,,,,,,
,start_loop,1,,,,390.7055654999997,,,1,0.4741005894862727,1,,
,Dig_Trial_19,,,,,400.1232948333334,0.308384500000102,,,,,104,
,Dig_Trial_20,,,,,404.45911675,0.34477933333300825,,,,,49,
,Dig_Trial_21,,,,,408.9471576666667,0.44889850000026854,,,,,23,
,Dig_Trial_22,,,,,413.2111321249997,0.27828508333323043,,,,,11,
,Dig_Trial_23,,,,,417.46721045833306,0.2642510833329652,,,,,5,
,Travel_Trial,,,,,421.85112816666674,0.3932385416669604,22.03633220833308,,,,2,
,Travel_Planet,,,,,431.9646948333336,,,,,,,
,start_loop,1,,,,431.9663407916662,,,2,0.8451806223048125,2,,
,Dig_Trial_24,,,,,441.52308308333363,0.4560164583331243,,,,,92,
,Dig_Trial_25,,,,,445.9229524166665,0.4098537499999111,,,,,78,
,Dig_Trial_26,,,,,450.2669332083335,0.33740212499969857,,,,,66,
,Dig_Trial_27,,,,,454.56281508333336,0.31553800000028787,,,,,56,
,Dig_Trial_28,,,,,459.13092816666654,0.5614350416663001,,,,,47,
,Dig_Trial_29,,,,,463.4429082916665,0.32307079166639596,,,,,40,
,Dig_Trial_30,,,,,467.75486262499976,0.32570604166676276,,,,,34,
,Dig_Trial_31,,,,,472.0748622499998,0.34039050000001225,,,,,29,
,Dig_Trial_32,,,,,476.3949123333334,0.33020441666667466,,,,,25,
,Dig_Trial_33,,,,,480.6507929166662,0.2770709166661618,,,,,21,
,Dig_Trial_34,,,,,484.93075537499976,0.2941810833335694,,,,,18,
,Dig_Trial_35,,,,,489.26687120833344,0.3389635833336797,,,,,15,
,Dig_Trial_36,,,,,493.5068037499998,0.26134741666692207,,,,,13,
,Dig_Trial_37,,,,,497.79479470833326,0.27725554166636357,,,,,11,
,Dig_Trial_38,,,,,502.0906979583335,0.3160578333331614,,,,,9,
,Dig_Trial_39,,,,,506.1788562083336,0.10468783333317333,,,,,8,
,Dig_Trial_40,,,,,510.4667298749998,0.3131587500001842,,,,,7,
,Dig_Trial_41,,,,,514.8187660416663,0.3668069583331999,,,,,6,
,Dig_Trial_42,,,,,519.2427379583335,0.42059220833380095,,,,,5,
,Travel_Trial,,,,,523.514571125,0.28357316666642873,82.4476154166664,,,,4,
,Travel_Planet,,,,,533.6296312916663,,,,,,,
,start_loop,1,,,,533.6311999583334,,,2,0.8110743794212513,3,,
,Dig_Trial_43,,,,,543.1065461249998,0.37131316666682324,,,,,94,
,Dig_Trial_44,,,,,547.4265318750001,0.3249995833334651,,,,,76,
,Dig_Trial_45,,,,,551.7624757916662,0.3234070416669965,,,,,62,
,Dig_Trial_46,,,,,556.1065683333334,0.3584383333336518,,,,,50,
,Dig_Trial_47,,,,,560.4583650833335,0.3420573749999676,,,,,41,
,Dig_Trial_48,,,,,564.8343951250001,0.3938648749999629,,,,,33,
,Dig_Trial_49,,,,,569.2344077916666,0.4125667083330882,,,,,27,
,Dig_Trial_50,,,,,573.4747714583334,0.2640939583329782,,,,,22,
,Dig_Trial_51,,,,,577.7544204583335,0.2922235416667718,,,,,18,
,Dig_Trial_52,,,,,582.0588289999998,0.3271559999998317,,,,,15,
