ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
3333,InitializeStudy,,"[2, 87, 4, 28, 55, 84, 104, 47, 78, 17, 86, 111, 67, 73, 64, 115, 35, 51, 112, 29, 5, 77, 113, 106, 65, 8, 52, 109, 62, 7, 74, 91, 110, 58, 114, 102, 116, 6, 89, 105, 37, 57, 85, 101, 36, 94, 56, 118, 14, 108, 33, 75, 107, 15, 30, 13, 9, 42, 18, 59, 46, 44, 24, 20, 25, 82, 68, 63, 39, 27, 21, 90, 50, 26, 81, 23, 70, 120, 119, 117, 34, 1, 100, 19, 43, 99, 10, 66, 11, 54, 22, 61, 97, 80, 69, 16, 79, 103, 95, 83, 12, 96, 71, 53, 76, 41, 72, 31, 92, 88, 3, 98, 32, 49, 93, 60, 48, 38, 45, 40]",,,0.0022599580697715282,,,,,,,
,Instruction_1,,,,,6.466127125080675,,,,,,,
,Instruction_2,,,,,7.184795333072543,,,,,,,
,Instruction_3,,,,,8.23928541643545,,,,,,,
,Dig_Instruct,,,,,12.934758957941085,,,,,,,
,Instruction_4,,,,,15.105078374966979,,,,,,,
,Travel_Planet,,,,,25.23842666624114,,,,,,,
,Instruction_5,,,,,26.49841620773077,,,,,,,
,Instruction_6,,,,,27.434641999658197,,,,,,,
,Instruction_7,,,,,28.064628457650542,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,33.346634957939386,,,,,,,
,Instruction_8,,,,,34.574345999863,,,,,,,
,Practice_Trial,,,,,57.130297374911606,0.9526656670495868,,,,,,
,Travel_Planet,,,,,67.25950570777059,,,,,,,
,Instruction_9,,,,,69.19416249962524,,,,,,,
,start_loop,1,,,,69.1975012915209,,,0,0.21281823694932048,0,,
,Dig_Trial_1,,,,,79.89892299985513,0.7260126662440598,,,,,100,
,Travel_Trial,,,,,84.84828029153869,0.3305115415714681,5.675583083182573,,,,21,
,Travel_Planet,,,,,94.97935554152355,,,,,,,
,start_loop,1,,,,94.98862095782533,,,0,0.18492524057149118,1,,
,Dig_Trial_2,,,,,105.71295258263126,0.8707075831480324,,,,,98,
,Dig_Trial_3,,,,,110.98365741642192,0.6889230413362384,,,,,18,
,Travel_Trial,,,,,115.68641204154119,0.25674579152837396,10.844325500074774,,,,3,
,Travel_Planet,,,,,125.81745091639459,,,,,,,
,too_slow,,,,,160.13756841653958,,,,,,,
,home_base,,,,,160.13761983299628,,,,,,,56.632086916361004
,start_loop,2,,,,160.13778241630644,,,2,0.7725261010360118,2,,
,Too_slow,,,,,174.24492025002837,NA,,,,,100,
,Dig_Trial_4,,,,,179.19164099963382,0.3427893747575581,,,,,77,
,Dig_Trial_5,,,,,183.8299258328043,0.20233408315107226,,,,,59,
,Travel_Trial,,,,,188.77977483300492,0.3576350836083293,9.931109083350748,,,,46,
,Travel_Planet,,,,,198.918734499719,,,,,,,
,too_slow,,,,,261.4980252911337,,,,,,,
,home_base,,,,,261.4980636248365,,,,,,,38.790459000039846
,start_loop,3,,,,261.49816054152325,,,0,0.23041544360645683,3,,
,Dig_Trial_6,,,,,271.7120727915317,0.2968855001963675,,,,,96,
,Travel_Trial,,,,,276.7501144162379,0.4781827498227358,5.335130249615759,,,,22,
,Travel_Planet,,,,,286.87923791632056,,,,,,,
,start_loop,3,,,,286.92334279138595,,,1,0.47503090221330946,4,,
,Dig_Trial_7,,,,,297.1873774579726,0.38202241621911526,,,,,104,
,Travel_Trial,,,,,302.04813608294353,0.3630770412273705,5.242977541871369,,,,49,
,Travel_Planet,,,,,312.17581549985334,,,,,,,
,too_slow,,,,,343.4262531250715,,,,,,,
,home_base,,,,,343.42629774985835,,,,,,,50.68717891629785
,start_loop,4,,,,343.4264000826515,,,0,0.23625061295693067,5,,
,Dig_Trial_8,,,,,353.6559595828876,0.28219575015828013,,,,,97,
,Dig_Trial_9,,,,,358.2961559998803,0.0199690000154078,,,,,23,
,Travel_Trial,,,,,363.1227489998564,0.23093516658991575,9.749275166541338,,,,5,
,Travel_Planet,,,,,373.25865187495947,,,,,,,
,start_loop,4,,,,373.26593529153615,,,0,0.20039303731107844,6,,
,Dig_Trial_10,,,,,383.5804664576426,0.22763691656291485,,,,,109,
,Travel_Trial,,,,,388.532190582715,0.34273558342829347,5.1796172498725355,,,,22,
,Travel_Planet,,,,,398.671290749684,,,,,,,
,too_slow,,,,,461.24952891655266,,,,,,,
,home_base,,,,,461.2495654998347,,,,,,,55.25423412490636
,start_loop,5,,,,461.2496574576944,,,2,0.8373839669491413,7,,
,Dig_Trial_11,,,,,471.97938987473026,0.7666598330251873,,,,,96,
,Dig_Trial_12,,,,,476.87177854124457,0.334710874594748,,,,,80,
,Dig_Trial_13,,,,,481.6751778749749,0.3210897911339998,,,,,67,
,Dig_Trial_14,,,,,486.46172858262435,0.23103899974375963,,,,,56,
,Travel_Trial,,,,,491.2459502913989,0.31487037474289536,20.033384666778147,,,,47,
,Travel_Planet,,,,,501.39338995795697,,,,,,,
